distance_to_signal,ev_speed,queue_length,time_of_day,traffic_level,preempted,success
41.33202777628724,14.71799275307134,0,49.6,1,1,1
42.789822494439406,14.673841353366479,0,49.7,1,1,1
44.24559456359536,14.647117700260461,0,49.8,1,1,1
45.70179658565797,14.645696610712076,0,49.9,1,1,1
47.15864945319996,14.647029446025009,0,50.0,1,1,1
48.61359012546673,14.623072942600448,0,50.1,1,1,1
50.077446759915595,14.708333047886008,0,50.2,1,1,1
51.5370531240412,14.661655064988045,0,50.3,1,1,1
148.76442027098554,14.661655064988045,0,50.3,1,1,1
52.99968179363834,14.688366824644945,0,50.4,1,1,1
147.2963560007283,14.688366824644945,0,50.4,1,1,1
54.456188706894395,14.623555538987603,0,50.5,1,1,1
145.83478490328622,14.623555538987603,0,50.5,1,1,1
55.91512492943241,14.644874119182678,0,50.6,1,1,1
144.37109901366546,14.644874119182678,0,50.6,1,1,1
57.376094400012626,14.662439645532613,0,50.7,1,1,1
142.90567398573583,14.662439645532613,0,50.7,1,1,1
58.843249477373526,14.721869672729262,0,50.8,1,1,1
141.4343263527829,14.721869672729262,0,50.8,1,1,1
60.30473625995474,14.662546141181702,0,50.9,1,1,1
139.96892523536974,14.662546141181702,0,50.9,1,1,1
61.76969909277815,14.695145257945732,0,51.0,1,1,1
138.50028423023667,14.695145257945732,0,51.0,1,1,1
63.235425785069765,14.70068758078767,0,51.1,1,1,1
137.03110806248174,14.70068758078767,0,51.1,1,1,1
64.69646632132739,14.651720878618399,0,51.2,1,1,1
135.5668448476042,14.651720878618399,0,51.2,1,1,1
66.15636704059524,14.638460335714372,0,51.3,1,1,1
134.10392669138784,14.638460335714372,0,51.3,1,1,1
67.62303940094614,14.704637724605018,0,51.4,1,1,1
132.63441560498873,14.704637724605018,0,51.4,1,1,1
69.08435322498899,14.649306855402283,0,51.5,1,1,1
131.17045525328453,14.649306855402283,0,51.5,1,1,1
70.55052327100523,14.696478107829208,0,51.6,1,1,1
129.70180291861158,14.696478107829208,0,51.6,1,1,1
72.01935744600557,14.721757872082854,0,51.7,1,1,1
128.2306471892656,14.721757872082854,0,51.7,1,1,1
73.48231861698812,14.661561961206935,0,51.8,1,1,1
126.76553041944278,14.661561961206935,0,51.8,1,1,1
74.95111700094678,14.7188028790514,0,51.9,1,1,1
125.29471807590961,14.7188028790514,0,51.9,1,1,1
76.41586292426061,14.677009813830118,0,52.0,1,1,1
123.82810727754115,14.677009813830118,0,52.0,1,1,1
77.87749659781076,14.64471324416958,0,52.1,1,1,1
122.36474979361537,14.64471324416958,0,52.1,1,1,1
79.34127082149298,14.665109553374677,0,52.2,1,1,1
120.89938126039591,14.665109553374677,0,52.2,1,1,1
80.80593405839343,14.673021218426621,0,52.3,1,1,1
119.43325024418216,14.673021218426621,0,52.3,1,1,1
82.27331635407793,14.699316150090054,0,52.4,1,1,1
117.96452103380321,14.699316150090054,0,52.4,1,1,1
83.73791523587188,14.67054049227303,0,52.5,1,1,1
116.49869727681745,14.67054049227303,0,52.5,1,1,1
85.20357127465367,14.680282759183648,0,52.6,1,1,1
115.03193150918196,14.680282759183648,0,52.6,1,1,1
86.67222708337906,14.709522351384258,0,52.7,1,1,1
113.56227702153386,14.709522351384258,0,52.7,1,1,1
88.13932550127541,14.6931582727368,0,52.8,1,1,1
112.09429148548591,14.6931582727368,0,52.8,1,1,1
89.60157450247165,14.643866682716506,0,52.9,1,1,1
110.63126578787129,14.643866682716506,0,52.9,1,1,1
